customer_id,region,age,num_site_visits,num_products_viewed,purchase_made,satisfaction_rating,customer_segment,preferred_channel,income,avg_spend_per_visit,discount_used,time_on_site_min,page_load_time_sec,browser,email_open_rate,clicked_ad,returned_product,membership_years,zipcode,tracking_cookie
25,Lima,35.0,2,5,Yes,Satisfied,Occasional,In-store,1278.05,200.34,No,8.4,3.15,Edge,0.63,1,Yes,2,11001,XYZ123
26,CUSCO,30.0,10,14,No,Neutral,Loyal,In-store,1297.14,221.25,No,5.0,0.42,Firefox,0.8,0,Yes,3,11001,XYZ123
27,Junin,39.0,6,8,Yes,Unsatisfied,New,Email,1392.78,288.3,No,2.4,3.68,Edge,0.35,0,No,6,04001,XYZ123
28,LIMA ,38.0,4,12,Yes,Very Unsatisfied,Occasional,Phone,2512.81,221.73,No,9.5,5.06,Safari,0.47,0,Yes,1,02001,XYZ123
29,Lima,45.0,5,5,Yes,Very Satisfied,Returning,Phone,2655.66,123.0,No,1.9,3.61,IE,0.79,1,Yes,2,13001,XYZ123
30,piura ,29.0,6,6,Yes,Satisfied,Occasional,SMS,3310.55,195.68,No,0.9,4.43,Chrome,0.23,0,Yes,4,13001,XYZ123
31,piura ,32.0,4,9,No,Unsatisfied,Occasional,Phone,2943.94,233.74,Yes,2.4,3.81,IE,0.22,1,Yes,3,13001,XYZ123
32,CUSCO,25.0,5,7,No,Neutral,New,In-store,2034.19,202.83,Yes,10.9,4.19,Firefox,0.59,0,Yes,2,13001,XYZ123
33,Arequipa,30.0,6,10,No,Satisfied,Loyal,Email,2683.94,285.34,Yes,2.0,4.13,IE,0.44,1,No,2,04001,XYZ123
34,Ancash,38.0,3,8,Yes,Satisfied,Returning,SMS,,157.2,Yes,9.9,4.14,Edge,0.95,0,No,2,02001,XYZ123
35,Piura,42.0,7,11,Yes,Very Unsatisfied,New,Phone,2318.09,262.26,Yes,3.9,3.38,Safari,0.36,1,No,1,04001,XYZ123
36,LIMA ,25.0,7,9,No,Neutral,New,In-store,2251.67,241.95,Yes,7.4,0.94,IE,0.76,0,No,3,02001,XYZ123
37,Arequipa,43.0,8,7,No,,New,SMS,1744.03,204.44,Yes,7.7,1.69,IE,0.58,0,No,3,04001,XYZ123
38,La Libertad,48.0,4,11,Yes,Very Satisfied,Returning,Email,1856.14,216.57,Yes,7.4,1.71,Safari,0.05,0,Yes,5,15001,XYZ123
39,Arequipa,39.0,7,10,No,Very Unsatisfied,Loyal,Phone,3048.46,151.12,No,5.4,0.03,Edge,0.08,1,Yes,4,02001,XYZ123
40,Ancash,53.0,3,6,No,Very Satisfied,Returning,In-store,2496.94,184.64,Yes,1.7,2.48,Chrome,0.2,0,No,2,13001,XYZ123
41,La Libertad,27.0,4,12,Yes,Very Unsatisfied,Returning,Email,4066.71,228.86,Yes,8.1,4.7,IE,0.14,0,Yes,1,02001,XYZ123
42,LIMA ,22.0,4,9,No,,Loyal,In-store,1958.63,192.54,Yes,10.2,1.28,Firefox,0.33,0,Yes,3,11001,XYZ123
43,Ancash,17.0,0,15,Yes,Very Unsatisfied,Returning,In-store,3109.1,203.01,No,10.7,3.87,Edge,0.58,1,Yes,5,02001,XYZ123
44,Cusco,49.0,1,7,No,Very Unsatisfied,Occasional,In-store,2809.13,249.62,Yes,8.3,3.63,Edge,0.6,0,No,6,11001,XYZ123
45,Piura,41.0,1,11,Yes,,Returning,Email,2428.5,104.64,No,9.0,3.28,IE,0.59,1,Yes,3,11001,XYZ123
46,LIMA ,34.0,7,11,No,Unsatisfied,New,SMS,2151.6,218.47,No,4.9,4.42,Safari,0.12,0,Yes,5,15001,XYZ123
47,Cusco,37.0,5,10,Yes,Unsatisfied,Returning,In-store,2980.08,288.83,Yes,9.8,2.95,IE,0.6,0,No,7,02001,XYZ123
48,CUSCO,23.0,5,13,No,Neutral,New,SMS,,181.16,No,9.7,4.83,IE,0.41,1,No,1,15001,XYZ123
49,LIMA ,,8,12,Yes,Very Unsatisfied,Returning,SMS,2661.59,137.79,Yes,6.8,2.76,Safari,0.9,1,Yes,3,13001,XYZ123
50,CUSCO,,3,8,No,Neutral,New,Phone,2840.51,180.55,Yes,8.2,3.41,Firefox,0.91,0,Yes,5,02001,XYZ123
51,La Libertad,36.0,5,7,No,Unsatisfied,New,Phone,,124.15,Yes,7.9,2.83,Safari,0.77,1,No,3,04001,XYZ123
52,Cusco,42.0,3,10,No,Very Unsatisfied,New,SMS,1187.06,211.28,No,9.8,1.89,IE,0.7,1,No,2,04001,XYZ123
53,Piura,39.0,5,11,No,Very Satisfied,Loyal,Phone,2567.5,196.32,Yes,1.8,1.38,Chrome,0.11,1,Yes,7,04001,XYZ123
54,Ancash,37.0,1,11,No,Unsatisfied,Returning,Phone,2285.16,215.94,Yes,1.7,3.69,Safari,0.08,0,Yes,2,11001,XYZ123
55,lima,27.0,7,7,No,Unsatisfied,Returning,SMS,4056.99,193.44,Yes,2.0,4.62,Firefox,0.84,0,No,5,04001,XYZ123
56,Arequipa,39.0,2,9,Yes,Unsatisfied,Occasional,Email,3006.71,209.79,No,6.2,3.29,Safari,0.43,0,Yes,3,13001,XYZ123
57,Lima,53.0,4,4,No,Very Unsatisfied,Occasional,Phone,2661.21,222.52,No,9.8,3.62,Safari,0.45,1,No,3,02001,XYZ123
58,Piura,48.0,6,18,Yes,Satisfied,Occasional,Phone,2870.26,140.12,No,1.0,1.13,Edge,0.85,1,No,4,02001,XYZ123
59,Cusco,,7,8,No,,Returning,Email,1681.51,217.3,No,8.4,3.46,Edge,0.62,1,No,3,11001,XYZ123
60,lima,29.0,9,12,Yes,Very Satisfied,Loyal,Email,2012.19,272.41,Yes,12.8,0.5,IE,0.18,1,Yes,4,11001,XYZ123
61,Piura,25.0,4,15,No,Neutral,New,Email,2232.17,151.91,Yes,9.1,1.57,IE,0.21,0,Yes,6,11001,XYZ123
62,Cusco,33.0,1,7,No,Very Unsatisfied,Returning,SMS,2810.74,215.42,No,0.1,4.6,Safari,0.01,1,No,1,13001,XYZ123
63,Junin,35.0,4,13,No,Unsatisfied,Loyal,Email,2152.2,264.73,Yes,10.1,3.02,Chrome,0.71,0,No,3,02001,XYZ123
64,Junin,45.0,6,16,No,Satisfied,Loyal,SMS,2098.85,142.25,No,9.0,3.13,IE,0.49,1,No,1,15001,XYZ123
65,CUSCO,18.0,3,7,Yes,Very Unsatisfied,Returning,In-store,1645.71,239.89,Yes,6.6,3.66,Safari,0.95,0,No,2,11001,XYZ123
66,Piura,50.0,4,9,No,Very Unsatisfied,New,In-store,2520.1,188.9,Yes,8.7,3.96,Safari,0.71,0,Yes,5,04001,XYZ123
67,Junin,33.0,2,6,Yes,,Loyal,Email,2632.45,250.57,No,2.4,2.68,Safari,0.1,1,No,6,15001,XYZ123
68,Cusco,30.0,6,10,No,Unsatisfied,Returning,Email,2842.82,158.78,No,8.2,3.35,Safari,0.16,1,No,3,15001,XYZ123
69,CUSCO,24.0,8,9,No,Very Unsatisfied,New,In-store,1943.19,199.55,Yes,9.9,2.92,Safari,0.5,1,No,1,11001,XYZ123
70,Cusco,18.0,7,12,No,Very Satisfied,Occasional,SMS,2796.62,124.08,No,5.2,1.16,Edge,0.92,0,Yes,7,04001,XYZ123
71,CUSCO,43.0,2,7,Yes,Very Satisfied,Loyal,SMS,1667.78,221.86,Yes,6.1,2.57,Firefox,0.25,1,No,4,11001,XYZ123
72,Piura,35.0,6,13,Yes,Satisfied,Loyal,Email,2324.75,222.44,Yes,5.7,3.5,Firefox,0.83,0,No,4,11001,XYZ123
73,lima,22.0,9,8,Yes,Unsatisfied,Returning,Email,2741.26,227.04,Yes,6.1,2.54,Safari,0.31,1,No,0,04001,XYZ123
74,Ancash,22.0,3,8,Yes,Satisfied,Returning,Email,2293.03,224.58,Yes,4.7,2.55,IE,0.27,0,No,2,15001,XYZ123
75,LIMA ,31.0,8,12,Yes,Very Unsatisfied,New,In-store,1250.52,195.45,No,4.9,3.94,Chrome,0.9,1,No,3,15001,XYZ123
76,lima,51.0,7,5,No,Very Satisfied,Occasional,Phone,1345.89,126.12,Yes,10.1,3.19,Safari,0.05,0,Yes,2,04001,XYZ123
77,La Libertad,32.0,6,6,Yes,Neutral,Occasional,Email,2676.72,249.6,Yes,1.0,3.42,Chrome,0.66,0,Yes,3,15001,XYZ123
78,Cusco,19.0,10,6,No,Satisfied,Returning,SMS,2963.72,198.08,Yes,8.7,1.05,Edge,0.04,0,Yes,0,13001,XYZ123
79,La Libertad,32.0,5,16,No,Neutral,Returning,Phone,2771.45,219.67,No,10.1,3.54,Firefox,0.8,1,No,3,11001,XYZ123
80,lima,32.0,5,9,No,Neutral,New,SMS,2982.99,190.74,Yes,2.6,1.67,Edge,0.83,0,No,3,13001,XYZ123
81,CUSCO,8.0,5,9,No,Very Satisfied,Returning,Phone,2275.57,297.94,No,7.7,2.97,IE,0.89,1,Yes,5,13001,XYZ123
82,LIMA ,34.0,5,7,No,Satisfied,New,In-store,3090.75,171.62,No,4.3,1.72,IE,0.19,0,No,2,13001,XYZ123
83,LIMA ,32.0,4,8,No,Neutral,New,Phone,2768.85,169.69,No,12.5,4.12,Safari,0.12,1,Yes,0,02001,XYZ123
84,Lima,41.0,10,8,Yes,Very Unsatisfied,Occasional,SMS,,121.92,No,7.2,5.2,IE,0.5,1,No,1,02001,XYZ123
85,LIMA ,53.0,3,4,No,Unsatisfied,New,Phone,2911.56,205.65,No,13.9,2.82,IE,0.27,0,Yes,3,13001,XYZ123
86,Ancash,46.0,2,9,No,Unsatisfied,Occasional,In-store,2736.84,292.92,No,13.3,2.81,Edge,0.61,0,Yes,2,11001,XYZ123
87,LIMA ,32.0,6,7,No,Very Satisfied,Occasional,SMS,3838.0,206.25,No,9.2,4.24,Chrome,0.51,1,No,5,13001,XYZ123
88,lima,23.0,4,4,No,Satisfied,Occasional,Email,3603.46,211.36,Yes,16.6,3.69,Firefox,0.14,0,No,3,13001,XYZ123
89,Lima,60.0,4,6,No,Satisfied,Returning,Phone,2426.16,248.66,Yes,1.7,2.91,IE,0.74,1,Yes,3,02001,XYZ123
90,lima,35.0,8,13,No,Unsatisfied,Occasional,SMS,2165.86,208.1,No,13.8,3.44,IE,0.8,1,Yes,5,13001,XYZ123
91,lima,35.0,5,10,Yes,Very Unsatisfied,New,Phone,3747.29,,No,6.9,5.44,Edge,0.96,1,No,2,11001,XYZ123
92,piura ,34.0,4,10,No,Unsatisfied,Returning,In-store,,,No,7.5,2.19,Firefox,0.4,1,Yes,2,11001,XYZ123
93,Arequipa,36.0,7,8,No,Unsatisfied,New,SMS,2360.68,,Yes,6.2,2.3,Edge,0.34,1,No,2,13001,XYZ123
94,Lima,33.0,4,7,Yes,Satisfied,Returning,Email,908.75,128.48,No,2.2,3.95,Chrome,0.19,1,Yes,2,11001,XYZ123
95,lima,29.0,2,15,Yes,Neutral,New,Email,1895.6,234.48,Yes,10.3,5.53,Edge,0.18,1,No,3,13001,XYZ123
96,Arequipa,29.0,2,10,Yes,Very Unsatisfied,Loyal,Phone,,216.13,Yes,3.0,3.21,Firefox,0.32,1,No,2,02001,XYZ123
97,Arequipa,34.0,3,6,No,Satisfied,Loyal,In-store,,147.71,No,5.6,0.95,Firefox,0.98,1,No,5,13001,XYZ123
98,Lima,29.0,3,10,Yes,Unsatisfied,Loyal,In-store,2994.81,166.1,Yes,5.8,3.47,IE,0.09,0,Yes,4,15001,XYZ123
99,piura ,27.0,8,9,No,Neutral,New,Phone,3117.0,165.94,No,12.0,2.37,Chrome,0.26,1,No,1,02001,XYZ123
100,La Libertad,36.0,6,11,No,Very Unsatisfied,Returning,SMS,,207.37,No,7.7,3.57,Safari,0.09,1,No,3,11001,XYZ123
101,CUSCO,32.0,0,10,No,,Occasional,SMS,3245.12,,No,1.8,1.37,IE,0.27,1,No,3,11001,XYZ123
102,Ancash,50.0,8,13,No,Very Unsatisfied,Occasional,Phone,1459.63,252.67,Yes,4.4,1.23,Edge,0.09,0,Yes,3,02001,XYZ123
103,CUSCO,8.0,5,6,No,Very Unsatisfied,New,SMS,3324.01,239.54,No,1.8,2.64,Edge,0.51,0,No,1,15001,XYZ123
104,LIMA ,45.0,4,12,No,Unsatisfied,New,SMS,3886.66,185.4,Yes,10.0,4.98,Firefox,0.44,0,No,3,02001,XYZ123
105,Ancash,47.0,5,9,Yes,Unsatisfied,New,SMS,,311.01,No,3.3,1.35,Firefox,0.17,0,No,2,04001,XYZ123
106,LIMA ,14.0,7,12,No,Very Satisfied,New,Phone,1529.71,201.66,No,5.6,2.62,Firefox,0.17,0,No,6,15001,XYZ123
107,lima,31.0,6,21,No,Very Satisfied,Occasional,Email,2347.12,180.56,No,15.0,1.24,Safari,0.63,0,No,4,02001,XYZ123
108,Cusco,31.0,3,11,No,Very Satisfied,Returning,In-store,3268.78,131.7,No,10.5,3.35,Safari,0.39,1,Yes,3,04001,XYZ123
109,Lima,20.0,4,14,No,Satisfied,Occasional,Email,1573.33,182.62,No,3.3,3.27,IE,0.06,0,No,1,13001,XYZ123
110,Ancash,27.0,2,13,Yes,Satisfied,New,SMS,1120.07,221.94,Yes,11.3,1.29,Safari,0.92,0,No,5,15001,XYZ123
111,Ancash,23.0,4,7,No,Unsatisfied,Loyal,Phone,2751.16,,No,5.1,4.55,Firefox,0.4,0,Yes,5,13001,XYZ123
112,lima,52.0,1,9,Yes,Unsatisfied,Occasional,In-store,1959.53,152.29,No,11.3,0.69,IE,0.59,0,Yes,6,04001,XYZ123
113,La Libertad,44.0,9,12,No,Very Satisfied,Loyal,SMS,1194.84,176.63,No,6.4,4.89,IE,0.89,0,Yes,5,11001,XYZ123
114,Arequipa,47.0,3,5,No,Satisfied,Loyal,In-store,3483.62,161.23,Yes,4.2,4.65,Chrome,0.4,1,Yes,5,11001,XYZ123
115,lima,42.0,1,11,No,Neutral,New,In-store,2631.45,157.11,No,3.8,3.37,Safari,0.82,1,No,2,11001,XYZ123
116,Junin,23.0,5,12,Yes,Satisfied,Occasional,Email,,256.23,No,9.2,4.08,Edge,0.91,0,Yes,4,13001,XYZ123
117,piura ,29.0,4,9,No,Unsatisfied,Returning,SMS,1729.05,117.47,No,11.7,2.79,Edge,0.17,1,No,4,15001,XYZ123
118,Arequipa,39.0,6,8,No,Satisfied,Occasional,In-store,2639.65,208.77,No,9.5,1.15,Chrome,0.89,0,Yes,2,13001,XYZ123
119,Lima,22.0,5,14,Yes,Unsatisfied,Returning,Email,2912.33,225.95,Yes,6.3,3.28,Firefox,0.12,1,Yes,3,13001,XYZ123
120,Arequipa,42.0,8,12,No,Very Satisfied,Returning,Phone,2760.75,175.8,No,0.8,1.11,Chrome,0.28,1,No,5,11001,XYZ123
121,La Libertad,32.0,5,7,No,Very Satisfied,New,In-store,1284.87,188.65,Yes,5.4,2.99,Firefox,0.81,0,Yes,0,13001,XYZ123
122,Arequipa,,7,11,No,Very Satisfied,Returning,SMS,2881.48,197.97,Yes,3.0,1.52,Safari,0.9,0,Yes,3,04001,XYZ123
123,Lima,42.0,4,13,No,Neutral,Occasional,Phone,3055.56,231.72,Yes,13.5,4.17,Safari,0.68,0,No,1,02001,XYZ123
124,La Libertad,39.0,1,7,No,Neutral,Occasional,In-store,2225.28,276.53,Yes,6.4,3.46,IE,0.1,1,Yes,3,02001,XYZ123
125,CUSCO,31.0,5,7,No,Unsatisfied,Loyal,In-store,3331.69,135.78,No,9.2,3.81,IE,0.52,1,Yes,1,02001,XYZ123
126,Ancash,46.0,4,7,No,Very Unsatisfied,Returning,SMS,1818.47,154.19,No,6.6,3.41,IE,0.57,0,Yes,2,11001,XYZ123
127,Ancash,24.0,3,8,No,Neutral,New,In-store,3532.47,156.7,Yes,9.7,5.26,IE,0.28,0,No,4,11001,XYZ123
128,piura ,41.0,2,10,No,Unsatisfied,New,SMS,2605.85,199.37,Yes,10.9,4.23,Edge,0.99,1,No,3,02001,XYZ123
129,LIMA ,,12,8,Yes,Satisfied,Occasional,SMS,2103.06,180.01,Yes,17.3,5.04,IE,0.34,0,No,3,15001,XYZ123
130,CUSCO,31.0,5,11,Yes,Very Satisfied,Returning,SMS,2245.24,233.32,No,6.2,1.92,IE,0.21,1,No,2,02001,XYZ123
131,CUSCO,38.0,10,8,Yes,Very Satisfied,New,SMS,3299.43,167.18,Yes,12.2,2.35,IE,0.11,1,No,2,13001,XYZ123
132,Arequipa,22.0,6,10,No,Very Satisfied,Returning,In-store,2689.79,155.59,Yes,9.1,0.09,Firefox,0.38,0,Yes,4,02001,XYZ123
133,Ancash,44.0,1,12,No,Unsatisfied,Returning,Phone,3016.05,161.84,Yes,5.7,2.53,IE,0.69,1,No,1,02001,XYZ123
134,Lima,33.0,6,9,No,Very Satisfied,Loyal,Phone,3359.74,205.78,Yes,6.0,2.96,Chrome,0.23,1,Yes,4,15001,XYZ123
135,Piura,29.0,2,13,Yes,Neutral,New,Email,2079.22,248.2,Yes,9.9,3.52,IE,0.77,1,No,2,11001,XYZ123
136,Piura,45.0,4,10,No,,Loyal,SMS,2601.84,197.78,No,6.8,2.36,IE,0.14,1,Yes,2,11001,XYZ123
137,La Libertad,27.0,5,11,No,Very Satisfied,New,In-store,2320.44,172.09,Yes,8.4,3.88,Edge,0.44,0,No,3,13001,XYZ123
138,Ancash,20.0,8,9,No,Unsatisfied,Returning,In-store,3313.65,148.45,No,10.7,3.8,IE,0.7,1,No,2,02001,XYZ123
139,Ancash,,4,10,No,Satisfied,New,Email,2194.04,273.08,No,18.0,2.43,Firefox,0.14,0,Yes,4,04001,XYZ123
140,piura ,41.0,2,10,No,Very Satisfied,Occasional,Phone,2538.27,111.95,No,8.1,1.85,Safari,0.6,1,Yes,0,13001,XYZ123
141,Piura,22.0,1,11,Yes,Very Unsatisfied,Returning,In-store,4336.58,190.7,No,3.5,3.08,IE,0.8,0,Yes,1,11001,XYZ123
142,Ancash,52.0,8,10,Yes,Very Satisfied,New,Email,3528.09,,No,9.6,3.12,IE,0.6,1,Yes,5,15001,XYZ123
143,piura ,,8,8,Yes,Neutral,Loyal,Phone,1671.82,190.01,Yes,6.1,2.27,IE,0.51,1,No,3,11001,XYZ123
144,Arequipa,51.0,4,10,No,Satisfied,Loyal,In-store,3221.58,171.68,No,15.6,2.69,Edge,0.84,0,Yes,3,11001,XYZ123
145,Junin,37.0,1,6,No,Neutral,Returning,SMS,3051.02,226.78,No,6.0,1.3,Safari,0.99,1,Yes,1,15001,XYZ123
146,Cusco,34.0,9,9,No,Very Unsatisfied,Loyal,Email,1619.49,145.31,Yes,8.1,3.81,Edge,0.18,0,No,1,02001,XYZ123
147,CUSCO,29.0,4,13,No,Very Unsatisfied,Returning,In-store,2411.96,112.96,No,10.5,3.83,Edge,0.69,1,Yes,4,02001,XYZ123
148,LIMA ,38.0,2,13,No,Neutral,Returning,Email,1741.84,217.66,Yes,10.0,3.06,Edge,0.08,0,Yes,4,11001,XYZ123
149,La Libertad,34.0,4,5,Yes,Satisfied,Returning,Email,585.92,150.24,Yes,13.6,3.92,Firefox,0.04,0,Yes,6,13001,XYZ123
150,Junin,46.0,3,9,Yes,Very Unsatisfied,New,Email,2383.22,206.59,Yes,10.7,3.16,Safari,0.28,1,No,1,04001,XYZ123
151,Piura,36.0,8,12,No,Very Unsatisfied,Returning,SMS,2095.13,193.84,Yes,17.4,4.94,Firefox,0.97,1,Yes,2,13001,XYZ123
152,piura ,36.0,9,9,No,Very Satisfied,Loyal,Phone,1619.28,213.05,Yes,9.8,1.44,Firefox,0.55,1,No,8,13001,XYZ123
153,CUSCO,31.0,4,7,No,Unsatisfied,Occasional,Phone,2492.33,188.65,No,13.2,3.24,Safari,0.27,1,Yes,2,11001,XYZ123
154,Ancash,34.0,4,9,No,Very Unsatisfied,New,In-store,803.51,227.58,Yes,6.1,4.08,Firefox,0.13,1,No,4,11001,XYZ123
155,LIMA ,38.0,5,6,Yes,Satisfied,Loyal,SMS,2533.02,164.82,Yes,15.9,4.79,Safari,0.92,1,No,5,04001,XYZ123
156,Ancash,17.0,11,14,No,Satisfied,Returning,Phone,2512.32,239.06,No,6.6,3.95,IE,0.36,1,Yes,3,04001,XYZ123
157,Lima,21.0,8,8,No,Very Satisfied,Returning,In-store,3042.99,139.12,No,13.9,1.75,Edge,0.31,1,Yes,4,04001,XYZ123
158,Lima,42.0,6,5,Yes,Satisfied,Occasional,In-store,1217.46,258.63,No,11.6,1.01,Firefox,0.86,1,Yes,2,11001,XYZ123
159,LIMA ,,2,12,No,Very Satisfied,Loyal,Email,4211.54,302.58,No,8.3,2.8,Safari,0.6,0,Yes,1,11001,XYZ123
160,piura ,33.0,8,9,No,Very Unsatisfied,New,SMS,3904.64,205.41,Yes,14.0,3.43,Chrome,0.17,0,Yes,2,13001,XYZ123
161,LIMA ,35.0,7,17,Yes,,Loyal,Phone,1881.43,278.46,No,8.0,4.13,Firefox,0.42,0,Yes,1,11001,XYZ123
162,Piura,38.0,6,16,Yes,Very Unsatisfied,Returning,SMS,3667.79,291.42,Yes,13.5,1.69,Firefox,0.93,1,No,3,02001,XYZ123
163,LIMA ,29.0,5,10,No,Very Unsatisfied,New,SMS,3185.66,183.95,No,9.5,3.73,Safari,0.9,0,No,0,02001,XYZ123
164,Arequipa,27.0,3,7,No,Unsatisfied,Returning,Phone,2148.46,202.39,No,6.5,0.21,Chrome,0.07,1,Yes,6,04001,XYZ123
165,Ancash,36.0,5,7,No,Unsatisfied,Returning,Phone,2014.52,159.29,No,9.3,2.11,Chrome,0.27,1,No,3,11001,XYZ123
166,Junin,25.0,100,9,No,Very Unsatisfied,Loyal,SMS,2075.02,162.52,No,8.1,4.03,IE,0.15,1,Yes,2,02001,XYZ123
167,lima,39.0,3,9,No,Satisfied,Occasional,In-store,4761.1,211.64,No,6.2,1.57,Firefox,0.53,1,Yes,5,13001,XYZ123
168,piura ,17.0,7,11,Yes,Very Satisfied,Returning,SMS,3588.1,118.21,Yes,8.9,1.68,Edge,0.75,0,No,6,15001,XYZ123
169,LIMA ,45.0,4,6,No,Neutral,Loyal,Phone,2337.78,241.74,Yes,9.6,2.37,Firefox,0.3,0,Yes,2,13001,XYZ123
170,La Libertad,39.0,4,7,No,Very Satisfied,New,SMS,2406.86,208.36,Yes,1.8,3.21,Edge,0.76,0,No,2,15001,XYZ123
171,Lima,37.0,6,8,No,Neutral,Occasional,Phone,3177.96,234.07,No,10.0,1.66,Edge,0.67,1,Yes,4,13001,XYZ123
172,Arequipa,44.0,6,6,No,,Returning,In-store,3142.92,190.9,Yes,11.0,2.96,Safari,0.73,1,No,3,02001,XYZ123
173,CUSCO,51.0,3,11,No,Very Unsatisfied,Returning,SMS,1734.5,233.63,No,13.8,2.48,Firefox,0.95,0,Yes,2,11001,XYZ123
174,lima,45.0,4,7,Yes,Neutral,New,In-store,2738.03,212.38,No,3.1,4.39,Safari,0.42,1,No,3,15001,XYZ123
175,piura ,16.0,6,9,No,Very Unsatisfied,Loyal,SMS,,225.36,Yes,3.9,2.42,IE,0.34,0,No,4,11001,XYZ123
176,Junin,22.0,6,7,No,Unsatisfied,Returning,SMS,2621.76,,Yes,8.8,3.03,Edge,0.68,0,Yes,1,11001,XYZ123
177,lima,28.0,6,9,Yes,Satisfied,New,Phone,2461.59,,No,5.1,3.2,Chrome,0.81,0,Yes,1,02001,XYZ123
178,LIMA ,35.0,6,12,No,Neutral,Returning,Email,3314.12,164.85,No,3.2,2.5,Edge,0.19,1,No,2,04001,XYZ123
179,Piura,40.0,3,14,Yes,Satisfied,Loyal,Phone,2285.38,315.74,Yes,6.3,3.92,IE,0.85,0,Yes,8,04001,XYZ123
180,Lima,27.0,5,13,No,Very Unsatisfied,Occasional,SMS,2594.65,210.36,No,6.6,4.17,Edge,0.06,1,Yes,6,15001,XYZ123
181,Lima,36.0,2,6,No,Neutral,Loyal,Email,997.53,114.16,Yes,3.9,2.41,Safari,0.01,0,Yes,3,02001,XYZ123
